mortgageInterestRate,propertyValueYearlyIncrease,delta
0.18,0.15,107588.75872532315124572866085
0.19,-0.15,-215657.21711969049499064512681
0.19,-0.14,-210312.87609969049499064512681
0.19,-0.13,-204714.09547969049499064512681
0.19,-0.12,-198851.89625969049499064512681
0.19,-0.11,-192717.09063969049499064512681
0.19,-0.10,-186300.27961969049499064512681
0.19,-0.09,-179591.85059969049499064512681
0.19,-0.08,-172581.97497969049499064512681
0.19,-0.07,-165260.60575969049499064512681
0.19,-0.06,-157617.47513969049499064512681
0.19,-0.05,-149642.09211969049499064512681
0.19,-0.04,-141323.74009969049499064512681
0.19,-0.03,-132651.47447969049499064512681
0.19,-0.02,-123614.12025969049499064512681
0.19,-0.01,-114200.26963969049499064512681
0.19,0.00,-104398.27961969049499064512681
0.19,0.01,-94196.26959969049499064512681
0.19,0.02,-83582.11897969049499064512681
0.19,0.03,-72543.46475969049499064512681
0.19,0.04,-61067.69913969049499064512681
0.19,0.05,-49141.96711969049499064512681
0.19,0.06,-36753.16409969049499064512681
0.19,0.07,-23887.93347969049499064512681
0.19,0.08,-10532.66425969049499064512681
0.19,0.09,3326.51136030950500935487319
0.19,0.10,17703.72038030950500935487319
0.19,0.11,32613.35140030950500935487319
0.19,0.12,48070.05702030950500935487319
0.19,0.13,64088.75624030950500935487319
0.19,0.14,80684.63686030950500935487319
0.19,0.15,97873.15788030950500935487319
0.20,-0.15,-225369.63878063440957198662960
0.20,-0.14,-220025.29776063440957198662960
0.20,-0.13,-214426.51714063440957198662960
0.20,-0.12,-208564.31792063440957198662960
0.20,-0.11,-202429.51230063440957198662960
0.20,-0.10,-196012.70128063440957198662960
0.20,-0.09,-189304.27226063440957198662960
0.20,-0.08,-182294.39664063440957198662960
0.20,-0.07,-174973.02742063440957198662960
0.20,-0.06,-167329.89680063440957198662960
0.20,-0.05,-159354.51378063440957198662960
0.20,-0.04,-151036.16176063440957198662960
0.20,-0.03,-142363.89614063440957198662960
0.20,-0.02,-133326.54192063440957198662960
0.20,-0.01,-123912.69130063440957198662960
0.20,0.00,-114110.70128063440957198662960
0.20,0.01,-103908.69126063440957198662960
0.20,0.02,-93294.54064063440957198662960
0.20,0.03,-82255.88642063440957198662960
0.20,0.04,-70780.12080063440957198662960
0.20,0.05,-58854.38878063440957198662960
0.20,0.06,-46465.58576063440957198662960
0.20,0.07,-33600.35514063440957198662960
0.20,0.08,-20245.08592063440957198662960
0.20,0.09,-6385.91030063440957198662960
0.20,0.10,7991.29871936559042801337040
0.20,0.11,22900.92973936559042801337040
0.20,0.12,38357.63535936559042801337040
0.20,0.13,54376.33457936559042801337040
0.20,0.14,70972.21519936559042801337040
0.20,0.15,88160.73621936559042801337040
