initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
2000,-0.01,101363.58998343453216803878851
2000,0.00,103884.89629367801993333328759
2000,0.01,106456.09698341147180311267631
2000,0.02,109077.93430934248436192018364
2000,0.03,111751.15639496083464400679326
2000,0.04,114476.51723053848013333124354
2000,0.05,117254.77667312955876356002753
2000,0.06,120086.70044657038891806739302
2000,0.07,122973.06014147946942993534245
2000,0.08,125914.63321525747958195363300
2000,0.09,128912.20299208727910661977652
2000,0.10,131966.55866293390818613903955
2000,0.11,135078.49528554458745242444337
2000,0.12,138248.81378444871798709676391
2000,0.13,141478.32095095788132148453182
2000,0.14,144767.82944316583943662403246
2000,0.15,148118.15778594853476325930586
