mortgageInterestRate,propertyValueYearlyIncrease,delta
0.13,0.00,-73705.55171260597010830687578
0.13,0.01,-59932.83818560597010830687578
0.13,0.02,-45603.73484860597010830687578
0.13,0.03,-30701.55165160597010830687578
0.13,0.04,-15209.26806460597010830687578
0.13,0.05,890.47016239402989169312422
0.13,0.06,17615.35423939402989169312422
0.13,0.07,34983.41557639402989169312422
0.13,0.08,53013.02902339402989169312422
0.13,0.09,71722.91611039402989169312422
0.13,0.10,91132.14828739402989169312422
0.13,0.11,111260.15016439402989169312422
0.13,0.12,132126.70275139402989169312422
0.13,0.13,153751.94669839402989169312422
0.13,0.14,176156.38553539402989169312422
0.13,0.15,199360.88891239402989169312422
0.14,-0.15,-236715.91681983067723863782774
0.14,-0.14,-229501.05644283067723863782774
0.14,-0.13,-221942.70260583067723863782774
0.14,-0.12,-214028.73365883067723863782774
0.14,-0.11,-205746.74607183067723863782774
0.14,-0.10,-197084.05119483067723863782774
0.14,-0.09,-188027.67201783067723863782774
0.14,-0.08,-178564.33993083067723863782774
0.14,-0.07,-168680.49148383067723863782774
0.14,-0.06,-158362.26514683067723863782774
0.14,-0.05,-147595.49806983067723863782774
0.14,-0.04,-136365.72284283067723863782774
0.14,-0.03,-124658.16425583067723863782774
0.14,-0.02,-112457.73605883067723863782774
0.14,-0.01,-99749.03772183067723863782774
0.14,0.00,-86516.35119483067723863782774
0.14,0.01,-72743.63766783067723863782774
0.14,0.02,-58414.53433083067723863782774
0.14,0.03,-43512.35113383067723863782774
0.14,0.04,-28020.06754683067723863782774
0.14,0.05,-11920.32931983067723863782774
0.14,0.06,4804.55475716932276136217226
0.14,0.07,22172.61609416932276136217226
0.14,0.08,40202.22954116932276136217226
0.14,0.09,58912.11662816932276136217226
0.14,0.10,78321.34880516932276136217226
0.14,0.11,98449.35068216932276136217226
0.14,0.12,119315.90326916932276136217226
0.14,0.13,140941.14721616932276136217226
0.14,0.14,163345.58605316932276136217226
0.14,0.15,186550.08943016932276136217226
0.15,-0.15,-249541.13502203428795192574533
0.15,-0.14,-242326.27464503428795192574533
0.15,-0.13,-234767.92080803428795192574533
0.15,-0.12,-226853.95186103428795192574533
0.15,-0.11,-218571.96427403428795192574533
0.15,-0.10,-209909.26939703428795192574533
0.15,-0.09,-200852.89022003428795192574533
0.15,-0.08,-191389.55813303428795192574533
0.15,-0.07,-181505.70968603428795192574533
0.15,-0.06,-171187.48334903428795192574533
0.15,-0.05,-160420.71627203428795192574533
0.15,-0.04,-149190.94104503428795192574533
0.15,-0.03,-137483.38245803428795192574533
0.15,-0.02,-125282.95426103428795192574533
0.15,-0.01,-112574.25592403428795192574533
0.15,0.00,-99341.56939703428795192574533
0.15,0.01,-85568.85587003428795192574533
0.15,0.02,-71239.75253303428795192574533
0.15,0.03,-56337.56933603428795192574533
0.15,0.04,-40845.28574903428795192574533
0.15,0.05,-24745.54752203428795192574533
0.15,0.06,-8020.66344503428795192574533
0.15,0.07,9347.39789196571204807425467
0.15,0.08,27377.01133896571204807425467
0.15,0.09,46086.89842596571204807425467
0.15,0.10,65496.13060296571204807425467
0.15,0.11,85624.13247996571204807425467
0.15,0.12,106490.68506696571204807425467
0.15,0.13,128115.92901396571204807425467
0.15,0.14,150520.36785096571204807425467
0.15,0.15,173724.87122796571204807425467
0.16,-0.15,-262374.04742760431494627118546
0.16,-0.14,-255159.18705060431494627118546
0.16,-0.13,-247600.83321360431494627118546
0.16,-0.12,-239686.86426660431494627118546
0.16,-0.11,-231404.87667960431494627118546
0.16,-0.10,-222742.18180260431494627118546
0.16,-0.09,-213685.80262560431494627118546
0.16,-0.08,-204222.47053860431494627118546
0.16,-0.07,-194338.62209160431494627118546
0.16,-0.06,-184020.39575460431494627118546
0.16,-0.05,-173253.62867760431494627118546
0.16,-0.04,-162023.85345060431494627118546
0.16,-0.03,-150316.29486360431494627118546
0.16,-0.02,-138115.86666660431494627118546
0.16,-0.01,-125407.16832960431494627118546
0.16,0.00,-112174.48180260431494627118546
0.16,0.01,-98401.76827560431494627118546
0.16,0.02,-84072.66493860431494627118546
0.16,0.03,-69170.48174160431494627118546
0.16,0.04,-53678.19815460431494627118546
0.16,0.05,-37578.45992760431494627118546
0.16,0.06,-20853.57585060431494627118546
0.16,0.07,-3485.51451360431494627118546
0.16,0.08,14544.09893339568505372881454
0.16,0.09,33253.98602039568505372881454
0.16,0.10,52663.21819739568505372881454
0.16,0.11,72791.22007439568505372881454
0.16,0.12,93657.77266139568505372881454
0.16,0.13,115283.01660839568505372881454
0.16,0.14,137687.45544539568505372881454
0.16,0.15,160891.95882239568505372881454
0.17,-0.15,-275209.42755844671180340795260
0.17,-0.14,-267994.56718144671180340795260
0.17,-0.13,-260436.21334444671180340795260
0.17,-0.12,-252522.24439744671180340795260
0.17,-0.11,-244240.25681044671180340795260
0.17,-0.10,-235577.56193344671180340795260
0.17,-0.09,-226521.18275644671180340795260
0.17,-0.08,-217057.85066944671180340795260
0.17,-0.07,-207174.00222244671180340795260
0.17,-0.06,-196855.77588544671180340795260
0.17,-0.05,-186089.00880844671180340795260
0.17,-0.04,-174859.23358144671180340795260
0.17,-0.03,-163151.67499444671180340795260
0.17,-0.02,-150951.24679744671180340795260
